timestamp,switch,eth_src,eth_dst,eth_type,src_ip,dst_ip,cookie,table_id,packet_count,byte_count,idle_timeout_s,hard_timeout_s,in_port,dur,dur_nsec,label
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,5e:7d:a0:c9:22:15,0x800,172.24.16.20,172.24.16.11,9007206099845120,N/A,1,94,5,0,3,4,295000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,5e:7d:a0:c9:22:15,0x800,172.24.16.20,172.24.16.11,9007207928561664,N/A,5951,469258,5,0,3,4,80000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,6e:2c:ce:30:dc:d4,0x800,172.24.16.20,172.24.16.12,9007208482209792,N/A,1,94,5,0,3,4,7000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,6e:2c:ce:30:dc:d4,0x800,172.24.16.20,172.24.16.12,9007208951971840,N/A,5645,421390,5,0,3,3,897000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,N/A,N/A,N/A,N/A,N/A,0,N/A,151,37013,0,0,N/A,20,620000000,0
1695491865.99492,00:00:00:00:00:00:00:08,16:0d:a2:c9:0f:83,6c:23:c1:94:e3:3a,0x806,N/A,N/A,9007199271518208,N/A,1,42,5,0,3,5,276000000,0
1695491865.99492,00:00:00:00:00:00:00:08,12:29:fb:48:15:e7,72:ad:29:aa:19:e9,0x806,N/A,N/A,9007199674171392,N/A,1,42,5,0,2,5,220000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,6c:23:c1:94:e3:3a,0x806,N/A,N/A,9007199841943552,N/A,1,42,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:08,02:00:00:00:00:01,12:29:fb:48:15:e7,0x806,N/A,N/A,9007199858720768,N/A,1,42,5,0,3,5,174000000,0
1695491865.99492,00:00:00:00:00:00:00:08,6c:23:c1:94:e3:3a,16:0d:a2:c9:0f:83,0x806,N/A,N/A,9007209052635136,N/A,0,0,5,0,1,0,193000000,0
1695491865.99492,00:00:00:00:00:00:00:08,72:ad:29:aa:19:e9,12:29:fb:48:15:e7,0x806,N/A,N/A,9007209069412352,N/A,1,42,5,0,3,0,193000000,0
