timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694687843.400655,13,0,0,0,590,0,0,0,0,718,0
1694687843.403824,4,21746443,524220729807,0,0,14192239,956348392,0,0,718,0
1694687843.403824,4,2885435,39368995162,0,0,2253399,151544849,0,0,718,0
1694687843.403824,4,3023593,37930431132,0,0,2366675,158881922,0,0,718,0
1694687843.403824,4,3698992,80926099426,0,0,2645641,177337354,0,0,718,0
1694687843.403824,4,21440748,1442498720,0,0,31339160,682444809531,0,0,718,0
1694687843.403824,4,0,0,0,590,0,0,0,0,718,0
1694687843.404482,7,1920262,30991409594,0,0,1455905,97722827,0,0,718,0
1694687843.404482,7,1184227,17263837024,0,0,904499,61315231,0,0,718,0
1694687843.404482,7,2359758,158980337,0,0,3104690,48255260960,0,0,718,0
1694687843.404482,7,0,0,0,594,0,0,0,0,718,0
1694687843.405038,11,1297733,17410517204,0,0,1022308,69326531,0,0,718,0
1694687843.405038,11,1651360,34686548596,0,0,1163504,78460059,0,0,718,0
1694687843.405038,11,2185164,147728711,0,0,2949285,52097079580,0,0,718,0
1694687843.405038,11,0,0,0,591,0,0,0,0,718,0
1694687843.406098,2,7624992,512813831,0,0,11686754,284050793411,0,0,718,0
1694687843.406098,2,3479503,76457368744,0,0,2437937,164218357,0,0,718,0
1694687843.406098,2,5103784,159338280300,0,0,2829790,189844641,0,0,718,0
1694687843.406098,2,3104690,48255260960,0,0,2359758,158980337,0,0,718,0
1694687843.406098,2,0,0,0,594,0,0,0,0,718,0
1694687843.406632,12,3096016,126745346878,0,0,1319776,88398214,0,0,718,0
1694687843.406632,12,1199182,16946788076,0,0,933390,63651898,0,0,718,0
1694687843.406632,12,2252533,151994398,0,0,4295389,143692148760,0,0,718,0
1694687843.406632,12,0,0,0,579,0,0,0,0,718,0
1694687843.407134,9,1511858,20099542386,0,0,1184396,79638217,0,0,718,0
1694687843.407134,9,1511531,17830874134,0,0,1182920,79300673,0,0,718,0
1694687843.407134,9,2366675,158881922,0,0,3023593,37930431132,0,0,718,0
1694687843.407134,9,0,0,0,588,0,0,0,0,718,0
1694687843.408189,3,6571724,443955152,0,0,10063448,240168604496,0,0,718,0
1694687843.408189,3,2949285,52097079580,0,0,2185164,147728711,0,0,718,0
1694687843.408189,3,4295389,143692148760,0,0,2252533,151994398,0,0,718,0
1694687843.408189,3,2821291,44379613736,0,0,2137814,144581731,0,0,718,0
1694687843.408189,3,0,0,0,588,0,0,0,0,718,0
1694687843.408693,5,1994462,31300461960,0,0,1517660,101947479,0,0,718,0
1694687843.408693,5,1484852,45156893214,0,0,920928,62329595,0,0,718,0
1694687843.408693,5,2437937,164218357,0,0,3479503,76457368744,0,0,718,0
1694687843.408693,5,0,0,0,596,0,0,0,0,718,0
1694687843.410445,15,31339100,682443117203,0,0,21440718,1442496668,0,0,718,0
1694687843.410445,15,5218555,353473834,0,0,7802443,175204278844,0,0,718,0
1694687843.410445,15,4912082,330768432,0,0,7445729,170636696408,0,0,718,0
1694687843.410445,15,6281970,420895768,0,0,8879364,181181463828,0,0,718,0
1694687843.410445,15,5028099,337356962,0,0,7213384,155420735186,0,0,718,0
1694687843.410445,15,0,0,0,590,0,0,0,0,718,0
1694687853.363202,8,1448956,18746832826,0,0,1150071,77223049,0,0,728,0
1694687853.363202,8,1437202,20623516482,0,0,1103987,74380829,0,0,728,0
1694687853.363202,8,2253410,151545871,0,0,2886350,39370363032,0,0,728,0
